year,totalrunsavg,totalruns25,totalruns50,totalruns75,rundiffavg,rundiff25,rundiff50,rundiff75,exinngames,seasonlength
1980,8.576,5.0,8.0,11.0,3.13,1.0,2.0,4.0,211,162
1981,7.996,5.0,7.0,10.0,3.216,1.0,3.0,4.0,142,111
1982,8.595,5.5,8.0,11.0,3.165,1.0,2.0,4.0,212,162
1983,8.615,5.0,8.0,11.0,3.191,1.0,3.0,4.0,190,162
1984,8.514,5.0,8.0,11.0,3.137,1.0,2.0,4.0,203,162
1985,8.662,5.0,8.0,11.0,3.294,1.0,3.0,5.0,205,162
1986,8.818,6.0,8.0,11.0,3.24,1.0,3.0,4.0,220,162
1987,9.446,6.0,9.0,12.0,3.449,1.0,3.0,5.0,200,162
1988,8.276,5.0,8.0,11.0,3.22,1.0,3.0,4.0,197,162
1989,8.264,5.0,8.0,11.0,3.285,1.0,3.0,5.0,192,162
1990,8.513,5.0,8.0,11.0,3.317,1.0,3.0,5.0,182,162
1991,8.615,5.0,8.0,11.0,3.224,1.0,3.0,4.0,220,162
1992,8.234,5.0,8.0,11.0,3.17,1.0,2.0,4.0,210,162
1993,9.195,6.0,9.0,12.0,3.343,1.0,3.0,5.0,196,162
1994,9.845,7.0,9.0,13.0,3.509,1.0,3.0,5.0,143,117
1995,9.695,6.0,9.0,13.0,3.508,1.0,3.0,5.0,180,145
1996,10.071,6.0,9.0,13.0,3.558,1.0,3.0,5.0,218,162
1997,9.534,6.0,9.0,12.0,3.462,1.0,3.0,5.0,196,162
1998,9.579,6.0,9.0,13.0,3.458,1.0,3.0,5.0,207,162
1999,10.169,7.0,9.0,13.0,3.643,1.0,3.0,5.0,191,162
2000,10.28,7.0,10.0,13.0,3.642,1.0,3.0,5.0,202,162
2001,9.551,6.0,9.0,12.0,3.57,1.0,3.0,5.0,196,162
2002,9.237,6.0,9.0,12.0,3.508,1.0,3.0,5.0,201,162
2003,9.456,6.0,9.0,12.0,3.557,1.0,3.0,5.0,197,162
2004,9.628,6.0,9.0,13.0,3.554,1.0,3.0,5.0,218,162
2005,9.183,6.0,9.0,12.0,3.403,1.0,3.0,5.0,182,162
2006,9.716,6.0,9.0,13.0,3.557,1.0,3.0,5.0,185,162
2007,9.594,6.5,9.0,12.0,3.587,1.0,3.0,5.0,220,162
2008,9.302,6.0,9.0,12.0,3.505,1.0,3.0,5.0,208,162
2009,9.226,6.0,9.0,12.0,3.52,1.0,3.0,5.0,195,162
2010,8.769,6.0,8.0,11.0,3.414,1.0,3.0,5.0,220,162
2011,8.566,5.0,8.0,11.0,3.291,1.0,3.0,4.0,237,162
2012,8.649,5.0,8.0,11.0,3.303,1.0,3.0,5.0,192,162
2013,8.332,5.0,8.0,11.0,3.285,1.0,3.0,5.0,243,162
2014,8.132,5.0,8.0,11.0,3.265,1.0,3.0,5.0,232,162
2015,8.5,5.0,8.0,11.0,3.378,1.0,3.0,5.0,212,162
2016,8.956,6.0,8.0,12.0,3.441,1.0,3.0,5.0,185,162
2017,9.293,6.0,9.0,12.0,3.672,1.0,3.0,5.0,182,162
2018,8.898,5.0,8.0,11.5,3.538,1.0,3.0,5.0,216,162
2019,9.661,6.0,9.0,13.0,3.66,1.0,3.0,5.0,208,162
2020,9.292,6.0,9.0,12.0,3.67,1.0,3.0,5.0,68,60
2021,9.061,6.0,9.0,12.0,3.532,1.0,3.0,5.0,216,162
