year,two_point_attempt_avg,three_point_attempt_avg,fta_avg,two_point_pct_pct_avg,three_point_pct_avg,ft_pct_avg
1998,66.99,12.71,26.29,0.471,0.344,0.737
1999,65.027,13.167,25.797,0.458,0.336,0.728
2000,68.38,13.717,25.283,0.468,0.353,0.751
2001,66.89,13.707,24.88,0.461,0.352,0.749
2002,66.527,14.753,23.827,0.465,0.352,0.753
2003,66.093,14.677,24.43,0.463,0.347,0.758
2004,64.89,14.92,24.203,0.46,0.346,0.752
2005,64.587,15.752,26.058,0.47,0.353,0.756
2006,63.01,15.984,26.303,0.478,0.357,0.746
2007,62.758,16.939,26.081,0.486,0.357,0.753
2008,63.397,18.106,24.939,0.485,0.36,0.756
2009,62.787,18.132,24.735,0.485,0.365,0.771
2010,63.561,18.135,24.542,0.493,0.353,0.759
2011,63.203,18.01,24.368,0.488,0.356,0.763
2012,63.045,18.387,22.465,0.477,0.347,0.753
2013,62.061,19.968,22.19,0.484,0.358,0.753
2014,61.465,21.535,23.594,0.489,0.359,0.757
2015,61.161,22.41,22.845,0.486,0.349,0.751
2016,60.494,24.084,23.355,0.492,0.353,0.758
2017,58.41,27.003,23.11,0.504,0.357,0.772
2018,57.052,28.997,21.674,0.511,0.362,0.767
2019,57.203,32.006,23.074,0.52,0.355,0.767
2020,54.71,34.103,23.097,0.524,0.358,0.772
2021,53.768,34.635,21.816,0.531,0.366,0.779
